char,beam_index,score
う,0,1
ウ,0,0.8
u,0,0.6
U,0,0.6
ｕ,0,0.6
Ｕ,0,0.6

い,1,1
イ,1,0.8
i,1,0.6
I,1,0.6
ｉ,1,0.6
Ｉ,1,0.6
|,1,0.6
｜,1,0.6
/,1,0.2
\,1,0.2
／,1,0.2
＼,1,0.2
!,1,0.1
！,1,0.1

ビ,2,1
び,2,0.8
b,2,0.4
B,2,0.4
ｂ,2,0.4
Ｂ,2,0.4

ー,3,1
イ,3,0.8
一,3,0.7
-,3,0.6
－,3,0.6
/,3,0.4
\,3,0.4
／,3,0.4
＼,3,0.4
|,3,0.4
｜,3,0.4
i,3,0.3
I,3,0.3
ｉ,3,0.3
Ｉ,3,0.3
!,3,0.1
！,3,0.1
_,3,0.1
＿,3,0.1

ム,4,1
む,4,0.8
m,4,0.4
M,4,0.4
ｍ,4,0.4
Ｍ,4,0.4

e,-1,0.2
E,-1,0.2
ｅ,-1,0.2
Ｅ,-1,0.2
a,-1,0.2
A,-1,0.2
ａ,-1,0.2
Ａ,-1,0.2
3,-1,0.1
３,-1,0.1
